Paper_Number,LLM_Rating,LLM_Reason,Brief_Evidence,LF1_Transparency,LF2_RoadmapCredibility,LF3_RiskDisclosure,LF4_Differentiation,LF5_Traction,LF6_BusinessModelClarity,LF7_GoToMarket,LF8_ExecutionCredibility,LF9_TechnicalFeasibility,LF10_SmartContractSecurity,LF11_Scalability,LF12_IncentiveCompatibility,LF13_FinancialSkewness,LF14_TokenomicsSustainability,LF15_UseTestCaseNecessity,LF16_GovernanceDesign,LF17_RegulatoryExposure,LF18_PartnershipQuality
paper_1.txt,3.0,"This whitepaper is unusually detailed and comparatively mature for an ICO-era document, with a concrete MVP, explicit token mechanics, and a substantial risk section. However, the token value logic is still somewhat circular and the governance remains centralized.",Transparency is moderate with extensive terms and token-sale details; roadmap includes MVP and phased expansion; risk disclosure is strong and explicit; business model centers on B2B lohn contracting with escrow-like token usage and platform fees.,2,2,3,2,2,3,2,2,2,2,2,2,1,1,2,1,2,1
paper_10.txt,2.8,"This whitepaper is relatively well-structured and addresses a real pain point in crypto transfers with a clear product concept, token utility, and governance mechanism. It is still early-stage and somewhat speculative, but more credible than many ICO-era papers.","Transparency: detailed market/problem framing and demo references; Roadmap: phased launch and roadmap through Q4 2018; Risk disclosure: explicit transactional risk analysis and failure scenarios; Governance: DAICO structure, polls, voting, and fund controls are described.",2,2,2,2,2,2,2,2,2,2,1,2,1,2,3,3,2,1
paper_100.txt,1.0,"No whitepaper content was provided in the last message, so there is nothing substantive to evaluate. All latent factors are therefore absent.","Empty input; no project description, roadmap, tokenomics, team, risks, or partnerships were included.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
paper_101.txt,2.4,"The paper is relatively clear and structured, with a concrete prototype, team, timeline, and a reasonably articulated reward mechanism. However, it remains early-stage and the token economics and scalability assumptions are only moderately convincing.","Transparency: disclaimer, team bios, and allocation tables are provided; Roadmap: phased plan through 2019; Business model: creator rewards via Stories and voting; Tokenomics: 50% reserved for contributor rewards, but long-term sustainability is not fully proven.",2,2,1,2,1,2,2,2,2,1,1,2,1,2,2,2,2,1
paper_102.txt,2.4,"PaxPay is relatively well-structured and unusually explicit about legal and risk disclaimers, with a clear consumer payments use case and a defined product roadmap. However, the token economics and scalability claims are weak, and traction is limited to early fundraising and plans.","Transparency and risk disclosure are stronger than average; roadmap spans 2017–2019; product includes Paxlet, wallet, marketplace, and smart contracts; no meaningful partnerships or audited traction are shown.",2,2,3,2,1,2,2,2,2,2,1,2,1,1,2,1,3,0
paper_103.txt,3.0,"This is a comparatively credible asset-backed ICO paper because it describes an existing operating enterprise, concrete production assets, contracts, team, and a clear token redemption mechanism. The main weaknesses are regulatory arbitrage, optimistic profit guarantees, and limited blockchain necessity beyond fundraising.","Transparency is strong with company history, licenses, contracts, and team bios; traction is evidenced by operating since 2015 and 65% capacity reached; business model and token buyback are explicit; risks are discussed, including Russian regulation and demand risk.",3,2,2,2,3,3,2,3,3,1,2,2,2,2,2,1,2,2
paper_104.txt,3.6,"This is a highly technical, unusually detailed architecture paper with strong disclosure of assumptions, risks, and system limits. It is credible on protocol design and scalability, but it is not a business whitepaper and provides little on traction, partnerships, or commercialization.","Strong legal disclaimer and explicit risk discussion; detailed PoH/PoS/PoRep design with throughput estimates; references to prior work and benchmarks; no token sale, roadmap, or go-to-market plan beyond protocol architecture.",3,1,3,3,0,1,0,2,3,2,3,2,1,1,3,2,2,0
paper_105.txt,4.4,"This is a highly detailed and comparatively mature whitepaper with strong governance, economic design, technical architecture, and enterprise use-case framing. It reads as a serious infrastructure proposal rather than a speculative token pitch.","Transparency: extensive disclosures and structure; Roadmap: development plan, committees, and technical roadmap; Traction: mentions business partners and use cases; Tokenomics: twin-token model with supply/demand modeling and node incentives.",3,3,2,2,3,3,2,3,3,2,3,3,2,3,3,3,2,3
paper_106.txt,2.0,"The paper is unusually detailed and candid about mechanics, but it reads more like a speculative monetary manifesto than a technically grounded crypto whitepaper. It has some coherent economic framing, yet many claims are unverified and the rollout/execution plan is weak.","Transparency is moderate with explicit fees, inflation, and distribution rules; risk disclosure is present; differentiation comes from social-graph-based IDs and dual-account inflation design; however, traction is absent and technical claims (99.9% ID accuracy, scalable blockchain) are not substantiated.",2,1,2,2,1,2,2,1,1,1,2,2,2,1,1,1,1,0
paper_107.txt,2.8,"The paper has a fairly clear product-market narrative around community monetization, local chats, and geo-targeted engagement, with concrete use cases and a roadmap. However, it lacks strong evidence of traction, risk analysis, and robust tokenomics.","Business model is explicit: 5% subscription fee, 2% influence transactions, geo-check-ins, and ads; roadmap includes pre-seed, beta, and integrations; technical stack cites Matrix, ERC-721, IPFS, and mesh geolocation; no meaningful partnerships or audited traction are shown.",2,2,0,2,1,3,2,2,2,1,2,2,1,1,3,1,1,0
