Paper_Number,LLM_Rating,LLM_Reason,Brief_Evidence,LF1_Transparency,LF2_RoadmapCredibility,LF3_RiskDisclosure,LF4_Differentiation,LF5_Traction,LF6_BusinessModelClarity,LF7_GoToMarket,LF8_ExecutionCredibility,LF9_TechnicalFeasibility,LF10_SmartContractSecurity,LF11_Scalability,LF12_IncentiveCompatibility,LF13_FinancialSkewness,LF14_TokenomicsSustainability,LF15_UseTestCaseNecessity,LF16_GovernanceDesign,LF17_RegulatoryExposure,LF18_PartnershipQuality
paper_1.txt,2.2,"The whitepaper presents a reasonably clear business concept and token-sale structure, with explicit risk disclosures and a concrete MVP history (bursadelohn.ro). However, the roadmap is dated and weakly credible, technical claims are under-specified, tokenomics rely on a simplistic price-support formula, and governance/security design is thin. Overall it reads as a concept-heavy, partially evidenced ICO-era paper with limited execution proof.","Transparency: token sale terms, allocation, KYC, restricted jurisdictions, and use of proceeds are disclosed. Roadmap: dated milestones exist but are stale and not convincingly delivered. Risk disclosure: extensive Section 3 covers protocol, hacking, regulation, taxes, liquidity, and dissolution risks. Differentiation: positions blockchain-enabled lohn/processing economy and Smart Contract Rating System. Traction: cites bursadelohn.ro as operational MVP and some Romanian adoption. Business model: 3% commission, escrow-like token requirement, platform services. Go-to-market: SME/global industrial branches and regional expansion mentioned. Execution/technical/security/scalability: mostly generic, with weak feasibility, limited security detail, and optimistic Ethereum scaling claims. Incentives/tokenomics: escrow and rating incentives exist, but sustainability is weak; MkLV formula is simplistic and price-support logic is fragile. Use-case necessity: plausible niche use case for cross-border manufacturing coordination. Governance: no meaningful token governance; centralized foundation control. Regulatory exposure: acknowledged with exclusions and legal disclaimers. Partnerships: no concrete named partnerships or verifiable counterparties.",2,1,3,2,2,2,2,1,1,1,1,2,2,1,2,1,2,0
paper_10.txt,3.2,"The whitepaper is relatively detailed and structured, with a clear problem statement, proposed solution, token distribution, DAICO funding model, and a roadmap. However, many claims are based on rough assumptions, the market sizing is somewhat speculative, and execution/traction evidence is limited. The technical design is plausible but not deeply validated, and security, scalability, and regulatory considerations are only partially addressed.","Transparency: named team/contact and organized sections; Roadmap: phased Q2-Q4 2018 plan; Risk disclosure: discusses failed transfers, DAICO risks, and voting issues; Differentiation: nickname-based address verification and browser/script integration; Traction: demo on Rinkeby/Ropsten and exchange listing agreements mentioned, but limited proof; Business model: verification fees, auctions, secondary market; Go-to-market: free launch period, wallet/exchange integrations, browser extension; Execution credibility: some milestones and budget allocation, but limited operational evidence; Technical feasibility: mapping, hash-based lookup, JS integration, smart contract demo; Smart contract security: revert logic, frozen tokens, polling rules, but no audit; Scalability: multi-blockchain ambition, but weak detail; Incentive compatibility: verification incentives and DAICO voting incentives/penalties; Financial skewness: token sale stages and upside implied, but not rigorously modeled; Tokenomics sustainability: supply split, burn of unsold tokens, soft cap; Use-case necessity: strong real-world pain point of mistaken blockchain addresses; Governance design: detailed DAICO voting, drafts, polls, thresholds, and closure mechanics; Regulatory exposure: little discussion beyond general legal costs and compliance; Partnership quality: mentions strategic alliances and exchange/wallet integration agreements, but specifics are sparse.",2,2,2,2,2,2,2,2,2,2,1,2,1,2,3,3,1,2
paper_100.txt,1.0,"No whitepaper content was provided to evaluate, so there is no evidence for any of the 18 factors. The assessment is therefore the minimum possible score.","No text supplied; unable to assess transparency, roadmap, risks, differentiation, traction, business model, go-to-market, execution, technical design, security, scalability, incentives, tokenomics, use-case necessity, governance, regulatory exposure, or partnerships.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
paper_101.txt,2.3,"The whitepaper presents a reasonably clear concept, token allocation, team/advisors, and a basic reward mechanism, but it is light on verifiable traction, security detail, regulatory analysis, and credible execution evidence. The roadmap is dated and aspirational, with limited specificity on milestones, dependencies, or delivery risk. Tokenomics and governance are described at a high level, yet the economic assumptions and anti-gaming design remain underdeveloped.","Transparency: named team/advisors and allocation table; Roadmap: phased timeline but dated and generic; Risk disclosure: only a brief disclaimer, little substantive risk analysis; Differentiation: claims novel Stories+reward model; Traction: mentions prototype and Google Play availability, no metrics; Business model: reward/distribution and crowd-sale use of funds described; Go-to-market: marketing and branding budget noted, limited strategy; Execution credibility: some team bios and dev partners, but weak proof; Technical feasibility: ERC-20 and smart contract integration outlined; Smart contract security: no audit/threat model; Scalability: 20-year distribution mentioned, no throughput design; Incentive compatibility: attempts anti-abuse formula; Financial skewness: no clear return/risk profile; Tokenomics sustainability: supply split and distribution schedule given, but assumptions thin; Use-case necessity: social stories reward use case explained; Governance design: voting-based distribution described; Regulatory exposure: legal costs noted, no compliance framework; Partnership quality: external dev teams/advisors listed, but credibility not independently evidenced.",2,1,1,2,1,2,1,1,2,1,1,2,1,2,2,2,1,2
paper_102.txt,2.1,"The whitepaper presents a reasonably detailed product vision, token distribution, and extensive legal disclaimers, but it is weak on execution realism, technical specificity, traction, governance, and partnership evidence. Many claims are aspirational and marketing-heavy, with limited proof that the proposed hardware, payments stack, and marketplace can be built or adopted at scale.","Transparency: basic token sale terms, allocation, team names, and disclaimer language are disclosed. Roadmap: multi-year timeline exists but is broad and not milestone-credible. Risk: extensive risk/legal disclaimers included. Differentiation: Paxlet/NFC payment bracelet and PoPP are presented as unique. Traction: mentions $88,400 raised pre-sale, but no product/users/revenue. Business model: storefront fees, exchange, and transaction incentives are described. Go-to-market: target users are listed, but no concrete acquisition plan. Execution: team listed, but no track record or delivery evidence. Technical feasibility/security: Ethereum/ERC20, PoW, biometrics, escrow described, but architecture is vague. Scalability: no meaningful scaling analysis. Incentives/tokenomics: rewards and bonuses are detailed, though potentially misaligned. Financial skewness: token allocations and bonuses are explicit. Sustainability: heavy bonuses and rewards raise dilution concerns. Use-case necessity: payment, wallet, escrow, marketplace use cases are plausible. Governance: multisig escrow mentioned, but broader governance is absent. Regulatory exposure: U.S. exclusion and non-security language acknowledged. Partnerships: none disclosed.",2,1,3,2,1,2,1,1,1,1,0,2,2,1,2,1,2,0
paper_103.txt,3.6,"The whitepaper describes a real, already operating industrial business with assets, licenses, staff, contracts, and production figures, which materially improves credibility versus a typical ICO. However, the token design is weakly specified, security/governance are largely absent, and the promised guaranteed buyback/returns create sustainability and regulatory concerns. Overall it is operationally grounded but financially and structurally risky.","Transparency: company name, location, license, reserves, staff, and equipment are disclosed. Roadmap: staged ICO, equipment purchases, and production expansion timeline are provided. Risks: some operational and regulatory risks are discussed, though selectively. Differentiation: niche peat supply/export positioning and existing operations. Traction: existing production since 2015, 65% capacity, $16M+ funding, contracts with China/Korea, retail networks. Business model: sell peat products and repurchase tokens from profits. Go-to-market: export focus to Middle East/Asia plus domestic retail/professional markets. Execution credibility: experienced team, existing plant, machinery, and land rights. Technical feasibility: milling/processing workflow and equipment described. Smart contract security: not addressed. Scalability: capacity expansion to 750,000 m3/year and additional facilities. Incentives: token buyback tied to profits, but alignment is imperfect. Financial skewness: explicit profit and guaranteed return claims. Tokenomics sustainability: weak due to fixed buyback promises and unclear long-term funding. Use-case necessity: token mainly serves as financing wrapper for peat inventory/claims. Governance: minimal tokenholder governance described. Regulatory exposure: acknowledged but downplayed via BVI structure. Partnerships: some contracts, chamber cooperation, and research institute links are mentioned.",2,2,2,2,3,3,2,3,2,0,2,2,2,1,3,1,2,2
paper_104.txt,3.7,"The whitepaper is technically ambitious and unusually detailed for its era, with a clear architecture, performance claims, and explicit discussion of attacks and failure modes. However, it lacks traction, roadmap specificity, business model clarity, and real-world execution evidence. The token/economic design is only partially developed, and several assumptions appear speculative or under-validated.","Transparency: strong legal disclaimer and architecture detail; Roadmap: minimal/no concrete milestones; Risk disclosure: explicit caveats and attack sections; Differentiation: Proof of History, streaming PoRep, GPU-friendly BPF; Traction: none stated; Business model: only implicit network fees/staking; Go-to-market: absent; Execution credibility: some implementation-oriented detail and references, but no team/ops plan; Technical feasibility: plausible but partly speculative; Smart contract security: mentions eBPF analysis and intrinsic batching, limited formal security; Scalability: extensive throughput/latency analysis and 710k TPS claim; Incentives: slashing, bonding, voting incentives discussed; Financial skewness: some mention of bond economics and attack costs; Tokenomics sustainability: weak, no full issuance/reward model; Use-case necessity: strong case for high-performance blockchain; Governance: validator elections, secondary leaders, slashing; Regulatory exposure: accredited-investor disclaimer and token sale caution; Partnerships: none mentioned.",3,1,2,3,0,1,0,2,2,2,3,2,1,1,2,2,2,0
paper_105.txt,4.2,"The document is unusually detailed for a crypto whitepaper, with substantial governance, tokenomics, economic modeling, and enterprise use-case discussion. It is strongest on transparency, differentiation, token design, governance, and real-world application framing. Credibility is supported by named partners and an operating history, but roadmap, execution, and security disclosures are only moderate, and explicit risk analysis is limited.","Strong disclosure of governance structure, voting rights, committees, disclosure policies, and economic model equations; clear twin-token/VET-VTHO design and supply-demand modeling; extensive enterprise use cases across supply chain, food safety, automotive, agriculture, and government; mentions 2.5+ years of operation, ICO history, token distribution, and named collaborations (e.g., DNV GL, Kuehne + Nagel, D.I.G.); roadmap and technical architecture are present but not deeply milestone-based; risk, security, and regulatory sections exist but are not comprehensive.",3,2,1,3,3,3,2,2,2,2,2,2,2,3,3,3,2,3
paper_106.txt,2.1,"The whitepaper is unusually detailed and transparent about its intended mechanics, but much of the content is speculative, internally inconsistent, and light on verifiable implementation evidence. It presents a broad vision for decentralized IDs, payments, mining, and inflation management, yet the roadmap, security model, governance, and execution plan remain weakly substantiated. The business model and token distribution are described, but the economic assumptions and feasibility claims are not convincingly evidenced.","Transparency: contact info, explicit disclaimers, and extensive feature descriptions. Roadmap: staged centralized-to-decentralized rollout, but vague timing and milestones. Risk disclosure: mentions volatility, loss risk, legal/ID constraints, and no profit promises. Differentiation: friend-link social graph IDs, dual accounts, inflation design. Traction: claims 99.9% accuracy and tests, but no audited metrics or users. Business model: 20% retained, fees, ID verification, ICO, recurring interest share. Go-to-market: referrals, exchanges, merchant acceptance, community growth. Execution credibility: startup constraints acknowledged, but many promises deferred. Technical feasibility: Sybil Rank-like approach, ZKPs, Rust, compression, quantum-proof crypto, but mostly aspirational. Smart contract security: unit testing, audits, freezing, 2FA, recovery, but no concrete audit plan. Scalability: claims Visa-level throughput, 2GB sync, compression, but unsupported. Incentives: referral rewards, mining, savings protection, but some perverse incentives remain. Financial skewness: UBI-like distribution and below-average balance benefits. Tokenomics sustainability: inflation, savings interest, burns, fees, and miner rewards described, though sustainability is uncertain. Use-case necessity: payments plus private digital IDs and anti-sybil identity. Governance: limited mention of decentralized approval and gateways, no robust governance framework. Regulatory exposure: KYC/AML, government IDs, age restrictions, and ICO imply high exposure. Partnerships: mentions Shapeshift/Changelly and merchants, but no confirmed partnerships.",2,1,2,2,1,2,2,1,1,1,2,2,2,2,2,1,1,0
paper_107.txt,2.3,"The whitepaper presents a reasonably detailed product concept, market framing, and monetization logic, but it is heavy on marketing claims and light on verifiable evidence, risk analysis, and implementation specifics. Technical components are named and some roadmap/team information is provided, yet execution credibility, tokenomics rigor, and security/governance design remain underdeveloped.","Transparency: partial team/contact disclosure and some references; Roadmap: present but high-level and dated; Risk disclosure: absent; Differentiation: local-chat + mesh + badges + influencer marketplace is somewhat distinct; Traction: no concrete users/revenue, only projections; Business model: fees/subscriptions/check-ins described; Go-to-market: channels and phases outlined; Execution credibility: team listed but limited proof; Technical feasibility: Matrix, IPFS, ERC-721, mesh discussed; Smart contract security: no audit/security detail; Scalability: federation/stateless architecture claims; Incentives: badges/tokens/check-ins intended to align behavior; Financial skewness: scenario model and NPV shown but assumptions weak; Tokenomics sustainability: fee/tokens mentioned, limited supply/utility design; Use-case necessity: several offline/community use cases; Governance: minimal; Regulatory exposure: brief mention of Article 13 only; Partnerships: none material disclosed.",2,1,0,2,1,2,2,1,2,1,2,2,1,1,2,1,1,0
